transaction_id,customer_id,account_type,region,category,merchant,amount,currency,timestamp,memo,is_flagged
TXN000043,Customer_0262,savings,Southeast,rent,Metro Realty,1990.83,USD,2023-03-28T09:32:00,Security deposit — Metro Realty,False
TXN000044,Customer_0345,savings,Southeast,rent,Metro Realty,3683.81,USD,2023-07-23T04:01:00,Monthly rent payment to Metro Realty,False
TXN000045,Customer_0295,checking,West,education,Barnes & Noble,2052.1,USD,2024-05-21T12:15:00,Barnes & Noble course enrollment — data engineering,False
TXN000046,Customer_0357,credit,West,groceries,Whole Foods,988.69,USD,2023-02-21T17:15:00,Quick stop at Whole Foods for produce and dairy,False
TXN000047,Customer_0287,credit,Midwest,dining,Panera Bread,3607.37,USD,2024-03-29T19:52:00,"Lunch with the team at Panera Bread, celebrated Q3 results",False
TXN000048,Customer_0442,savings,West,insurance,Allstate,2009.38,USD,2023-09-23T07:53:00,Life insurance premium payment to Allstate,False
TXN000049,Customer_0366,savings,Southeast,insurance,Allstate,1080.41,USD,2023-10-06T10:20:00,Life insurance premium payment to Allstate,False
TXN000050,Customer_0362,checking,Northeast,dining,Starbucks,1044.52,USD,2024-02-29T13:21:00,"Lunch with the team at Starbucks, celebrated Q3 results",False
TXN000051,Customer_0395,credit,Northeast,shopping,Amazon,3748.85,USD,2024-01-25T15:00:00,Online order from Amazon — home office equipment,False
TXN000052,Customer_0410,credit,Southeast,entertainment,Steam,2424.3,USD,2024-05-14T07:17:00,In-app purchase on Steam platform,False
TXN000053,Customer_0371,checking,West,groceries,Kroger,3011.59,USD,2023-05-11T19:34:00,Quick stop at Kroger for produce and dairy,True
TXN000054,Customer_0220,checking,West,shopping,Zara,2985.18,USD,2023-07-06T01:16:00,Flash sale purchase at Zara,False
TXN000055,Customer_0143,savings,Midwest,utilities,National Grid,1522.06,USD,2023-03-25T15:01:00,National Grid electricity bill for the apartment,False
TXN000056,Customer_0334,checking,Northeast,groceries,Walmart Grocery,2927.4,USD,2023-09-11T06:53:00,"Weekly grocery run at Walmart Grocery, stocked up on essentials",True
TXN000057,Customer_0486,checking,West,travel,Marriott Hotels,2133.66,USD,2023-09-20T11:10:00,Flight to Chicago via Marriott Hotels for annual conference,False
TXN000058,Customer_0347,savings,West,dining,Starbucks,-159.42,USD,2023-07-23T02:37:00,"Client dinner at Starbucks, discussed Q4 roadmap",False
TXN000059,Customer_0308,checking,Southwest,utilities,AT&T,3477.3,USD,2023-02-12T11:34:00,AT&T wireless plan — family plan renewal,False
TXN000060,Customer_0251,checking,West,healthcare,CVS Pharmacy,-212.93,USD,2024-01-06T20:57:00,Lab work order from CVS Pharmacy,False
TXN000061,Customer_0139,credit,Southwest,travel,Airbnb,3303.41,USD,2024-05-10T14:27:00,Flight to Chicago via Airbnb for annual conference,False
TXN000062,Customer_0045,savings,West,rent,Metro Realty,3833.45,USD,2023-09-07T14:36:00,Security deposit — Metro Realty,False
TXN000063,Customer_0250,checking,Midwest,shopping,Best Buy,2226.91,USD,2023-09-22T10:17:00,Online order from Best Buy — home office equipment,False
TXN000064,Customer_0124,credit,West,entertainment,Apple iTunes,2327.24,USD,2024-05-15T17:48:00,Apple iTunes monthly subscription auto-renewal,False
TXN000065,Customer_0114,savings,Southeast,education,Chegg,3569.23,USD,2023-11-10T21:37:00,Textbook purchase at Chegg for continuing ed,False
TXN000066,Customer_0170,savings,West,insurance,USAA,1917.64,USD,2023-10-05T09:16:00,USAA renters insurance quarterly payment,False
TXN000067,Customer_0354,checking,Southeast,utilities,ConEdison,3344.25,USD,2023-08-10T23:30:00,Monthly ConEdison internet and cable bill,False
TXN000068,Customer_0100,savings,Southeast,rent,First Place Rentals,1277.08,USD,2024-01-05T05:19:00,Lease renewal fee at First Place Rentals,True
TXN000069,Customer_0484,checking,West,insurance,State Farm,-149.61,USD,2023-04-16T00:36:00,State Farm renters insurance quarterly payment,False
TXN000070,Customer_0245,checking,Northeast,education,Chegg,-470.83,USD,2024-02-15T15:04:00,Textbook purchase at Chegg for continuing ed,False
TXN000071,Customer_0044,checking,Northeast,groceries,Trader Joe's,3651.08,USD,2024-03-02T19:38:00,"Weekly grocery run at Trader Joe's, stocked up on essentials",False
TXN000072,Customer_0441,credit,West,utilities,Verizon,2030.06,USD,2023-11-09T18:39:00,Verizon electricity bill for the apartment,False
TXN000073,Customer_0081,checking,Southeast,dining,Starbucks,953.56,USD,2023-03-18T05:00:00,Morning coffee and pastry at Starbucks,False
TXN000074,Customer_0145,credit,West,rent,Sunset Apartments,151.72,USD,2023-03-14T21:14:00,Security deposit — Sunset Apartments,False
TXN000075,Customer_0077,savings,Southeast,rent,Urban Living Co,520.92,USD,2023-03-15T01:10:00,Security deposit — Urban Living Co,False
TXN000076,Customer_0156,credit,West,rent,First Place Rentals,1978.99,USD,2023-10-06T16:34:00,Security deposit — First Place Rentals,False
TXN000077,Customer_0310,savings,Northeast,dining,Olive Garden,4002.96,USD,2023-04-04T07:43:00,"Lunch with the team at Olive Garden, celebrated Q3 results",False
TXN000078,Customer_0138,credit,Northeast,rent,First Place Rentals,4498.08,USD,2023-06-29T15:33:00,Monthly rent payment to First Place Rentals,False
TXN000079,Customer_0497,checking,West,entertainment,Spotify,1964.3,USD,2023-12-23T13:21:00,Movie tickets at Spotify — family outing,False
TXN000080,Customer_0340,savings,Southwest,dining,Starbucks,1855.34,USD,2023-02-07T14:05:00,"Client dinner at Starbucks, discussed Q4 roadmap",False
TXN000081,Customer_0001,credit,Southwest,healthcare,CVS Pharmacy,3892.77,USD,2024-04-18T13:03:00,Annual physical copay at CVS Pharmacy,False
TXN000082,Customer_0105,savings,Southwest,healthcare,Urgent Care Now,2816.21,USD,2023-05-15T09:28:00,Annual physical copay at Urgent Care Now,False
TXN000083,Customer_0123,credit,Southeast,education,Coursera,4379.29,USD,2023-11-15T17:00:00,Coursera course enrollment — data engineering,False
TXN000084,Customer_0427,checking,West,dining,Starbucks,2079.21,USD,2023-10-26T16:45:00,"Lunch with the team at Starbucks, celebrated Q3 results",False
TXN000085,Customer_0098,credit,Southwest,education,Chegg,2058.26,USD,2023-05-20T02:17:00,Chegg course enrollment — data engineering,False
TXN000086,Customer_0429,credit,Southwest,shopping,Best Buy,-364.4,USD,2024-05-16T04:28:00,Flash sale purchase at Best Buy,False
TXN000087,Customer_0478,savings,Southeast,healthcare,LabCorp,3434.11,USD,2023-09-02T18:24:00,Lab work order from LabCorp,False
TXN000088,Customer_0416,savings,West,shopping,Amazon,3352.45,USD,2023-06-05T15:02:00,In-store purchase at Amazon — seasonal wardrobe,False
TXN000089,Customer_0270,savings,Northeast,rent,Metro Realty,3934.49,USD,2023-05-28T13:55:00,Monthly rent payment to Metro Realty,False
TXN000090,Customer_0320,credit,West,travel,Delta Airlines,3517.96,USD,2023-03-24T10:54:00,Hotel stay at Delta Airlines during product summit,False
TXN000091,Customer_0250,credit,Northeast,insurance,Allstate,2822.46,USD,2023-03-12T07:40:00,Allstate renters insurance quarterly payment,False
TXN000092,Customer_0390,credit,Northeast,entertainment,Spotify,411.26,USD,2024-03-30T05:44:00,Movie tickets at Spotify — family outing,False
TXN000093,Customer_0192,savings,Southeast,groceries,Whole Foods,3583.66,USD,2023-09-08T16:26:00,Quick stop at Whole Foods for produce and dairy,False
TXN000094,Customer_0318,credit,Southeast,travel,Marriott Hotels,359.96,USD,2024-05-24T18:09:00,Flight to Chicago via Marriott Hotels for annual conference,False
TXN000095,Customer_0239,savings,Southwest,entertainment,Steam,3002.45,USD,2023-06-11T02:28:00,In-app purchase on Steam platform,False
TXN000096,Customer_0234,savings,Southeast,rent,Metro Realty,4329.32,USD,2024-01-29T15:06:00,Lease renewal fee at Metro Realty,False
TXN000097,Customer_0012,credit,West,rent,Metro Realty,1334.95,USD,2023-10-09T00:36:00,Lease renewal fee at Metro Realty,False
TXN000098,Customer_0147,checking,Southwest,groceries,Aldi,2237.79,USD,2023-12-27T07:40:00,"Monthly bulk purchase at Aldi, household supplies",False
TXN000099,Customer_0021,savings,West,entertainment,Spotify,441.75,USD,2023-02-04T18:23:00,Movie tickets at Spotify — family outing,False
TXN000100,Customer_0068,credit,Midwest,dining,The Cheesecake Factory,3364.93,USD,2024-06-27T16:58:00,"Client dinner at The Cheesecake Factory, discussed Q4 roadmap",False
TXN000101,Customer_0446,savings,Northeast,travel,Uber,4353.39,USD,2024-04-24T02:09:00,Hotel stay at Uber during product summit,False
TXN000102,Customer_0008,savings,Southwest,utilities,National Grid,1649.16,USD,2023-05-07T14:23:00,National Grid wireless plan — family plan renewal,False
TXN000103,Customer_0056,credit,Southeast,entertainment,Apple iTunes,3701.77,USD,2024-04-27T00:39:00,In-app purchase on Apple iTunes platform,False
TXN000104,Customer_0422,savings,Midwest,insurance,Progressive,1000.05,USD,2024-02-23T03:08:00,Life insurance premium payment to Progressive,False
TXN000105,Customer_0276,checking,West,groceries,Walmart Grocery,526.96,USD,2024-04-09T11:42:00,Quick stop at Walmart Grocery for produce and dairy,False
TXN000106,Customer_0213,credit,Northeast,insurance,Allstate,3341.5,USD,2024-05-16T19:26:00,Life insurance premium payment to Allstate,False
TXN000107,Customer_0487,checking,Midwest,entertainment,Netflix,1670.53,USD,2023-04-12T21:23:00,Movie tickets at Netflix — family outing,False
TXN000108,Customer_0486,savings,Northeast,healthcare,CVS Pharmacy,1245.09,USD,2023-08-06T20:40:00,Annual physical copay at CVS Pharmacy,False
TXN000109,Customer_0290,checking,Northeast,groceries,Whole Foods,1099.84,USD,2023-08-01T18:13:00,Quick stop at Whole Foods for produce and dairy,False
TXN000110,Customer_0142,checking,Southeast,utilities,ConEdison,3549.95,USD,2023-09-14T05:07:00,Monthly ConEdison internet and cable bill,False
TXN000111,Customer_0302,savings,Northeast,groceries,Trader Joe's,1615.3,USD,2023-06-28T08:03:00,"Weekly grocery run at Trader Joe's, stocked up on essentials",False
TXN000112,Customer_0399,savings,Southwest,shopping,Zara,3356.77,USD,2023-04-22T14:32:00,Online order from Zara — home office equipment,False
TXN000113,Customer_0267,savings,West,rent,Apartment LLC,3525.61,USD,2023-02-01T01:30:00,Lease renewal fee at Apartment LLC,False
TXN000114,Customer_0461,checking,Midwest,shopping,Amazon,3207.24,USD,2023-06-01T02:08:00,In-store purchase at Amazon — seasonal wardrobe,False
TXN000115,Customer_0272,savings,West,rent,First Place Rentals,1466.71,USD,2024-06-01T19:27:00,Lease renewal fee at First Place Rentals,False
TXN000116,Customer_0455,checking,West,dining,Olive Garden,3895.39,USD,2023-12-14T14:25:00,Morning coffee and pastry at Olive Garden,False
TXN000117,Customer_0489,checking,West,dining,The Cheesecake Factory,1409.79,USD,2023-03-10T02:53:00,"Client dinner at The Cheesecake Factory, discussed Q4 roadmap",False
TXN000118,Customer_0285,checking,Southwest,shopping,Amazon,3325.89,USD,2023-12-04T21:07:00,Flash sale purchase at Amazon,False
TXN000119,Customer_0296,credit,Southeast,shopping,Amazon,2703.84,USD,2023-06-08T21:30:00,In-store purchase at Amazon — seasonal wardrobe,False
TXN000120,Customer_0294,checking,West,dining,The Cheesecake Factory,1657.19,USD,2023-01-27T19:59:00,Morning coffee and pastry at The Cheesecake Factory,False
TXN000121,Customer_0472,savings,Midwest,entertainment,Netflix,1233.35,USD,2023-01-07T05:55:00,Netflix monthly subscription auto-renewal,False
TXN000122,Customer_0047,credit,Southwest,shopping,Amazon,3335.66,USD,2023-08-09T12:26:00,Online order from Amazon — home office equipment,False
TXN000123,Customer_0291,credit,Northeast,travel,Uber,3248.57,USD,2023-02-23T04:10:00,Hotel stay at Uber during product summit,False
TXN000124,Customer_0311,savings,West,groceries,Whole Foods,1996.79,USD,2023-10-07T06:48:00,Quick stop at Whole Foods for produce and dairy,False
TXN000125,Customer_0250,credit,Midwest,healthcare,Blue Cross Premium,1278.19,USD,2023-02-16T07:25:00,Prescription refill at Blue Cross Premium,False
TXN000126,Customer_0071,savings,Midwest,groceries,Whole Foods,1359.88,USD,2023-12-02T03:00:00,"Weekly grocery run at Whole Foods, stocked up on essentials",False
TXN000127,Customer_0257,credit,Midwest,shopping,Target,1714.03,USD,2023-03-15T12:55:00,Online order from Target — home office equipment,False
TXN000128,Customer_0295,savings,Southwest,shopping,Amazon,4145.63,USD,2024-02-19T22:40:00,In-store purchase at Amazon — seasonal wardrobe,False
TXN000129,Customer_0486,credit,West,dining,Panera Bread,4348.07,USD,2024-01-06T02:27:00,"Lunch with the team at Panera Bread, celebrated Q3 results",False
TXN000130,Customer_0446,savings,Midwest,utilities,National Grid,1805.02,USD,2023-08-15T10:49:00,National Grid wireless plan — family plan renewal,False
TXN000131,Customer_0179,savings,Southeast,insurance,Geico,2297.23,USD,2023-08-30T03:09:00,Life insurance premium payment to Geico,False
TXN000132,Customer_0091,credit,West,travel,Hertz,3422.17,USD,2024-04-20T18:48:00,Flight to Chicago via Hertz for annual conference,False
TXN000133,Customer_0078,savings,Northeast,rent,First Place Rentals,3889.79,USD,2024-04-25T14:40:00,Security deposit — First Place Rentals,False
TXN000134,Customer_0237,savings,Northeast,entertainment,Apple iTunes,1586.98,USD,2023-02-28T11:53:00,Apple iTunes monthly subscription auto-renewal,False
TXN000135,Customer_0284,credit,Northeast,dining,Olive Garden,2284.27,USD,2024-04-05T18:41:00,Morning coffee and pastry at Olive Garden,False
TXN000136,Customer_0053,savings,Northeast,rent,Sunset Apartments,683.12,USD,2024-05-31T20:11:00,Lease renewal fee at Sunset Apartments,False
TXN000137,Customer_0191,savings,West,education,Chegg,2354.75,USD,2024-02-23T10:43:00,Chegg annual learning subscription,False
TXN000138,Customer_0146,savings,Southwest,healthcare,CVS Pharmacy,429.8,USD,2023-06-03T10:05:00,Annual physical copay at CVS Pharmacy,False
TXN000139,Customer_0201,checking,Southwest,travel,Uber,4354.8,USD,2023-03-28T09:35:00,Hotel stay at Uber during product summit,False
TXN000140,Customer_0351,credit,Northeast,healthcare,Walgreens,3164.22,USD,2024-03-09T16:23:00,Lab work order from Walgreens,True
TXN000141,Customer_0099,checking,Southeast,entertainment,Spotify,1541.09,USD,2023-06-08T02:18:00,Spotify monthly subscription auto-renewal,False
TXN000142,Customer_0020,credit,Midwest,dining,Olive Garden,3758.86,USD,2023-05-15T19:24:00,Morning coffee and pastry at Olive Garden,False
TXN000143,Customer_0369,checking,West,travel,Hertz,-185.33,USD,2023-10-19T23:50:00,Flight to Chicago via Hertz for annual conference,False
TXN000144,Customer_0463,checking,Midwest,insurance,State Farm,4345.36,USD,2024-03-27T14:49:00,State Farm renters insurance quarterly payment,False
TXN000145,Customer_0103,credit,Southeast,shopping,Zara,1886.88,USD,2023-09-14T01:41:00,Flash sale purchase at Zara,False
TXN000146,Customer_0064,savings,Northeast,healthcare,Urgent Care Now,3202.75,USD,2023-06-14T08:28:00,Prescription refill at Urgent Care Now,False
TXN000147,Customer_0231,savings,Northeast,travel,Airbnb,4259.13,USD,2024-02-29T01:25:00,Flight to Chicago via Airbnb for annual conference,False
TXN000148,Customer_0430,credit,Midwest,utilities,National Grid,-465.76,USD,2023-05-30T04:02:00,Monthly National Grid internet and cable bill,False
TXN000149,Customer_0464,checking,Northeast,education,Udemy,2113.65,USD,2023-09-20T06:53:00,Udemy annual learning subscription,False
TXN000150,Customer_0155,checking,Northeast,rent,First Place Rentals,504.78,USD,2023-09-02T13:40:00,Security deposit — First Place Rentals,False
TXN000151,Customer_0275,checking,Southwest,education,Coursera,3765.91,USD,2023-09-05T22:09:00,Coursera course enrollment — data engineering,False
TXN000152,Customer_0341,credit,Northeast,groceries,Aldi,1086.34,USD,2024-06-20T11:04:00,Quick stop at Aldi for produce and dairy,False
TXN000153,Customer_0241,checking,West,insurance,USAA,2495.91,USD,2024-01-18T08:47:00,Life insurance premium payment to USAA,True
TXN000154,Customer_0396,credit,Midwest,dining,The Cheesecake Factory,3299.57,USD,2023-05-17T01:22:00,"Lunch with the team at The Cheesecake Factory, celebrated Q3 results",False
TXN000155,Customer_0070,checking,West,travel,Airbnb,2156.0,USD,2023-02-07T09:12:00,Car rental from Airbnb for client site visit,False
TXN000156,Customer_0418,credit,West,utilities,AT&T,4200.5,USD,2023-09-17T01:48:00,AT&T electricity bill for the apartment,False
TXN000157,Customer_0064,savings,West,entertainment,AMC Theaters,3896.76,USD,2024-02-14T23:28:00,AMC Theaters monthly subscription auto-renewal,False
TXN000158,Customer_0474,credit,Midwest,shopping,Best Buy,2235.43,USD,2023-03-26T23:27:00,Online order from Best Buy — home office equipment,False
TXN000159,Customer_0168,credit,Midwest,rent,Urban Living Co,1325.48,USD,2023-11-10T14:38:00,Lease renewal fee at Urban Living Co,False
TXN000160,Customer_0467,savings,Southwest,travel,Airbnb,2014.85,USD,2024-03-21T08:40:00,Hotel stay at Airbnb during product summit,False
TXN000161,Customer_0411,credit,Southeast,groceries,Whole Foods,2870.62,USD,2023-02-01T04:54:00,"Monthly bulk purchase at Whole Foods, household supplies",False
TXN000162,Customer_0188,savings,West,education,Coursera,307.21,USD,2023-02-03T19:09:00,Coursera course enrollment — data engineering,False
TXN000163,Customer_0272,savings,West,healthcare,LabCorp,3435.06,USD,2023-11-18T20:17:00,Annual physical copay at LabCorp,False
TXN000164,Customer_0468,credit,Northeast,dining,Chipotle,841.29,USD,2023-09-26T08:45:00,Morning coffee and pastry at Chipotle,False
TXN000165,Customer_0063,checking,Northeast,rent,Metro Realty,4124.57,USD,2024-04-07T05:57:00,Lease renewal fee at Metro Realty,False
TXN000166,Customer_0278,savings,Midwest,dining,The Cheesecake Factory,1566.68,USD,2023-06-11T22:45:00,Morning coffee and pastry at The Cheesecake Factory,False
TXN000167,Customer_0406,checking,Southeast,travel,Uber,1012.97,USD,2024-05-20T00:23:00,Car rental from Uber for client site visit,False
TXN000168,Customer_0034,savings,West,healthcare,Blue Cross Premium,588.32,USD,2024-05-05T16:26:00,Lab work order from Blue Cross Premium,False
TXN000169,Customer_0231,savings,Southwest,rent,Apartment LLC,4375.85,USD,2023-12-19T04:56:00,Monthly rent payment to Apartment LLC,False
TXN000170,Customer_0258,checking,Northeast,insurance,USAA,3456.18,USD,2024-06-14T04:19:00,Monthly USAA auto insurance premium,False
TXN000171,Customer_0146,checking,Midwest,healthcare,Walgreens,4263.94,USD,2023-07-21T20:35:00,Annual physical copay at Walgreens,False
TXN000172,Customer_0304,credit,Southeast,entertainment,Apple iTunes,424.96,USD,2023-06-25T21:39:00,Movie tickets at Apple iTunes — family outing,False
TXN000173,Customer_0042,checking,Southwest,rent,Metro Realty,190.17,USD,2023-09-29T20:13:00,Lease renewal fee at Metro Realty,False
TXN000174,Customer_0280,savings,Midwest,shopping,Zara,141.14,USD,2024-05-09T07:51:00,Flash sale purchase at Zara,False
TXN000175,Customer_0248,savings,Southeast,shopping,Best Buy,-222.6,USD,2023-12-15T19:09:00,In-store purchase at Best Buy — seasonal wardrobe,False
TXN000176,Customer_0288,checking,Midwest,healthcare,LabCorp,592.79,USD,2023-09-05T14:07:00,Annual physical copay at LabCorp,False
TXN000177,Customer_0443,credit,West,utilities,Comcast Xfinity,232.47,USD,2023-09-12T05:52:00,Monthly Comcast Xfinity internet and cable bill,False
TXN000178,Customer_0264,savings,West,rent,Metro Realty,3435.23,USD,2023-11-12T15:01:00,Monthly rent payment to Metro Realty,False
TXN000179,Customer_0181,checking,Northeast,shopping,Zara,4350.26,USD,2023-10-16T15:38:00,In-store purchase at Zara — seasonal wardrobe,False
TXN000180,Customer_0069,savings,Midwest,education,MIT OpenCourseWare,41.76,USD,2024-02-17T11:02:00,MIT OpenCourseWare annual learning subscription,False
TXN000181,Customer_0198,credit,West,rent,First Place Rentals,1634.54,USD,2023-10-14T19:43:00,Monthly rent payment to First Place Rentals,False
TXN000182,Customer_0286,savings,Southeast,travel,Delta Airlines,1682.53,USD,2023-07-23T19:32:00,Hotel stay at Delta Airlines during product summit,False
TXN000183,Customer_0243,credit,West,groceries,Whole Foods,620.98,USD,2023-06-02T19:57:00,"Weekly grocery run at Whole Foods, stocked up on essentials",False
TXN000184,Customer_0379,savings,Southwest,healthcare,Urgent Care Now,735.45,USD,2023-12-11T16:53:00,Annual physical copay at Urgent Care Now,False
TXN000185,Customer_0057,savings,Southwest,education,Barnes & Noble,-168.96,USD,2023-11-12T23:55:00,Textbook purchase at Barnes & Noble for continuing ed,False
TXN000186,Customer_0498,credit,Southwest,groceries,Aldi,1198.56,USD,2023-08-22T23:03:00,Quick stop at Aldi for produce and dairy,False
TXN000187,Customer_0195,checking,Southeast,travel,Hertz,3246.72,USD,2023-02-02T18:44:00,Car rental from Hertz for client site visit,False
TXN000188,Customer_0105,savings,Southwest,groceries,Kroger,1887.42,USD,2024-04-27T23:46:00,Quick stop at Kroger for produce and dairy,False
TXN000189,Customer_0245,credit,West,travel,Hertz,2526.19,USD,2023-11-18T05:29:00,Flight to Chicago via Hertz for annual conference,False
TXN000190,Customer_0349,credit,Midwest,healthcare,Urgent Care Now,3043.03,USD,2024-05-10T06:15:00,Annual physical copay at Urgent Care Now,False
TXN000191,Customer_0354,credit,West,entertainment,Spotify,3471.43,USD,2023-11-21T15:22:00,In-app purchase on Spotify platform,False
TXN000192,Customer_0459,savings,Midwest,entertainment,AMC Theaters,2582.78,USD,2023-05-30T09:02:00,AMC Theaters monthly subscription auto-renewal,False
TXN000193,Customer_0110,checking,Southwest,dining,The Cheesecake Factory,2953.59,USD,2023-10-05T17:44:00,"Client dinner at The Cheesecake Factory, discussed Q4 roadmap",False
TXN000194,Customer_0343,credit,Southeast,dining,Olive Garden,2642.8,USD,2023-08-27T01:06:00,Morning coffee and pastry at Olive Garden,False
